D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10113|2018|Toyota|Camry|Sedan|White|45210|18995.00
10114|2020|Honda|Civic|Sedan|Silver|15800|21450.00
10115|2017|Chevrolet|Malibu|Sedan|Blue|68500|12975.00
10117|2019|Jeep|Cherokee|SUV|Green|32500|22500.00
10120|2016|Chevrolet|Silverado|Truck|White|98400|19995.00
10121|2014|Toyota|Corolla|Sedan|Blue|120500|9750.00
10123|2018|Hyundai|Elantra|Sedan|Gray|48200|14200.00
10124|2019|BMW|X5|SUV|Black|28900|45800.00
10125|2020|Audi|A4|Sedan|Silver|23500|37200.00
10126|2017|Honda|CR-V|SUV|White|51500|18950.00
10127|2021|Kia|Sorento|SUV|Blue|22300|31200.00
10128|2015|Nissan|Altima|Sedan|Maroon|87500|11800.00
10130|2020|Chevrolet|Tahoe|SUV|Black|34500|49900.00
10131|2018|GMC|Terrain|SUV|Silver|45600|23800.00
10132|2016|Volkswagen|Jetta|Sedan|White|66500|12900.00
